term,word_class,meaning,is_common,frequency
a dua,verb,"To ape, to chime in, to join in, to take a leaf out of sb's book",false,0
a ha,excl,"Aha, ha; hurrah, hurray",false,0
a hoàn,noun,Abigail ; maidservant,false,0
a phiến,noun,Opium,false,0
a tòng,verb,"To act as (be) an accomplice to someone, to act as (be) an accessory to someone, to make common cause with someone",false,0
à,excl,Oh! (exclamation of surprise); By the way,false,0
à uôm,verb,To lump together,false,0
ả,noun,Lass,false,0
ả đào,noun,"Singsong girl, geisha",false,0
ả giang hồ,noun,"prostitute,; street-walker",false,0
á,adj,"Aah! Oof(expression of suffering); Asia; Asian, Asiatic",false,0
á-căn-đình,noun,"Argentina, the Argentine",false,0
á khẩu,noun,aphasia,false,0
á khôi,noun,the second winner in a contest,false,0
á kim,noun,Metalloid,false,0
á rập,noun,Arabia,false,0
ác,adj,"Crow, raven; (cũ) The sun; Cruel, malicious; Severe, fierce; Ripping, rattling good",false,0
ác bá,noun,"Cruel landlord, village tyrant",false,0
ác cảm,noun,"Antipathy, aversion, enmity, bad blood, ill feeling",false,0
ác chiến,verb,"To fight violently, to fight fiercely",false,0
ác là,noun,Magpie,false,0
ác liệt,adj,"Very fierce, very violent",false,0
ác miệng,adj,"Foul-mouthed, foul-tongued",false,0
ác mó,noun,"Parrot; Shrew, termagant",false,0
ác mô ni ca,noun,Mouth-organ,false,0
ác mộng,noun,Nightmare,false,0
ác nghiệt,adj,"Cruel, venomous, harsh, spiteful",false,0
ác ôn,adj,"Enemy-hired killer, wicked thug; Ruffianly, thug-like",false,0
ác phụ,noun,wicked woman,false,0
ác quỷ,noun,"Demon, fiend",false,0
ác tâm,noun,"Malice, malignity, ill will",false,0
ác thú,noun,Beast of prey,false,0
ác tính,adj,"Malign, malignant",false,0
ác ý,noun,"Malice, malignity, ill will",false,0
ách,adj,"Yoke; To come to a standstill, to be at a standstill; To stop; Having a bloated (blown up) stomach, feeling bloated (blown up)",false,0
ạch,noun,flump; flop,false,0
ai,pronoun,"Who, whom, someone, somebody, anyone, anybody",false,0
ai điếu,noun,eulogy; condolence,false,0
ai đời,khẩu ngữ,Fancy,false,0
ai nấy,khẩu ngữ,"each and all, one and all",false,0
ai oán,adj,Plaintive,false,0
ải,adj,"Pass; Hurdle, ordeal, trial; Rotten; Aerated and loose",false,0
ải quan,noun,Frontier pass,false,0
ái,excl,Oh! Ah! (exclamation of pain or surprise),false,0
ái ân,verb,"Tender love, conjugal affection, passion; To live in conjugal affection",false,0
ái chà,excl,Oh! Ha!,false,0
ái hữu,noun,"Friendly society, guild",false,0
ái khanh,noun,My darling; my dear,false,0
ái lực,noun,Affinity,false,0
ái mộ,verb,To attach; to feel attach to,false,0
ái nam ái nữ,adj,"Hermaphroditic, bisexual, androgynous",false,0
ái ngại,verb,To feel compassion for,false,0
- ái nữ,noun,Daughter,false,0
ái nhĩ lan,noun,Ireland,false,0
ái phi,noun,favorite queen,false,0
am,noun,"Small temple, small pagoda; hermitage, secluded hut",false,0
am hiểu,verb,"To realize; to know inside out; to have a good command of ; to know like the back of one's hand; to have a thorough knowledge of; to be expert in (at,on) ; to be well-informed about, to be familiar with",false,0
am pe,noun,Ampere,false,0
ảm đạm,adj,"Gloomy, dreary, sombre",false,0
ám,verb,"Thick fish soup flavoured with herbs; To possess; To annoy, to worry; To darken, to stain, to obscure",false,0
ám ảnh,noun,"To obsess, to haunt; Haunting worry, obsession",false,0
ám chỉ,verb,"To insinuate, to allude to, to hint (at)",false,0
ám hại,verb,To attempt the life of,false,0
ám hiệu,noun,"Secret signal, coded signal",false,0
ám muội,adj,"Shady, dubious, underhand, sinister",false,0
ám sát,verb,To assassinate,false,0
ám tả,noun,Dictation,false,0
ám thị,verb,"To hint, to insinuate, to suggest; To insinuate by suggestion",false,0
an,adj,"Safe, secure",false,0
an ba ni,noun,(Greogr) Albania,false,0
an cư,verb,to live in peace,false,0
an dưỡng,verb,To convalesce,false,0
an giấc,verb,To sleep soundly,false,0
an hưởng,verb,"To enjoy peacefully, to spend peacefully",false,0
an nghỉ,verb,To rest in peace and quiet,false,0
an nhàn,adj,"Leisured, leisurely",false,0
an ninh,noun,Security,false,0
an phận,verb,To feel smug,false,0
an táng,verb,To bury,false,0
an thần,verb,To act as a tranquillizer,false,0
an toạ,verb,"To take a seat, to be seated",false,0
an toàn,adj,Safe,false,0
an trí,verb,"To banish, to exile",false,0
an ủi,verb,"To comfort, to console",false,0
an vị,verb,"To be seated, to be in one's seat",false,0
án,verb,"High and narrow table; Case; Sentence; To obstruct, to block the way",false,0
án mạng,noun,Murder,false,0
án ngữ,verb,To obstruct the access into,false,0
án phí,noun,"Legal costs, law expenses",false,0
án sát,noun,Feudal provincial mandarin in charge of criminal cases,false,0
án thư,noun,High and narrow table,false,0
án treo,noun,Suspended sentence,false,0
án tử hình,noun,death-sentence; death penalty,false,0
ang,noun,crock; container for areca-nuts and betel,false,0
ang áng,adverb,about; approximately,false,0
áng,verb,"Fleece (of cloud), remarkable piece (of literary work), a glorious period (of war); To make a rough estimate",false,0
anh,noun,"Elder brother; First cousin, cousin german (son of one's father's or mother's elder brother or sister)",true,0
anh dũng,adj,Of great fortitude,false,0
anh đào,noun,Cherry,false,0
anh em,noun,"Brothers, siblings; Mates, comrades",false,0
anh hùng,adj,"Hero; Heroic, hero-like",false,0
anh hùng ca,noun,"Epic, saga",false,0
anh linh,noun,Hallowed memory (of a deceased person),false,0
anh minh,adj,Clear-sighted and able,false,0
anh nuôi,noun,Male cook,false,0
anh quân,noun,Clear-sighted and able monarch,false,0
anh tài,noun,"Luminary, outstanding talent",false,0
anh thư,noun,Heroine,false,0
anh tuấn,noun,Eminent person,false,0
ảnh,noun,"Image; Photograph, picture",false,0
ảnh ảo,noun,Virtual image,false,0
ảnh hưởng,noun,"Influence, effect, impact",false,0
ảnh lửa,noun,fire-light,false,0
ánh,adj,"Clove; Light, glare; Lustre",false,0
ánh đèn,noun,lamplight,false,0
ánh nắng,noun,sunlight; sunshine,false,0
ánh sáng,noun,Light,false,0
ao,verb,"Pond; To measure roughly, to measure approximately",false,0
ao ước,verb,"To wish for, to long for, to crave for",false,0
ào,verb,Impetuously; To rush,false,0
ào ào,adj,Impetuous,false,0
ào ạt,adj,"Impetuous, vehement",false,0
ảo,adj,"Illusive, illusory; Imaginary",false,0
ảo ảnh,noun,"Illusion, phantasm, phantom; Mirage",false,0
ảo giác,noun,"Illusion, optical illusion; Fancy, fantasy",false,0
ảo mộng,noun,"Fantastic dream, day-dream, castle in the air",false,0
ảo não,adj,"Doleful, pathetic, plaintive",false,0
ảo thị,noun,Optical illusion,false,0
ảo thuật,noun,"Prestidigitation, legerdemain, jugglery",false,0
ảo tưởng,noun,"Fancy, illusion, fantastic notion, day-dream",false,0
ảo tượng,noun,Mirage,false,0
ảo vọng,noun,"Fantastic hope, fantastic wish",false,0
áo,noun,"(địa lý) Austria; Jacket, coat, tunic, dress, gown; Case, wrapping; Crust, coat; Cloak, cover",false,0
áo choàng,noun,"Overcoat, gown",false,0
áo dài,noun,"Glowing tunic, dress",false,0
- áo giáp,noun,Armour,false,0
áo giáp,noun,cuirass; armour,false,0
áo gối,noun,pillow-case,false,0
áo khách,noun,Chinese-styled jacket,false,0
áo khoác,noun,Overcoat,false,0
áo lặn,noun,"Diving-suit, diving-dress",false,0
áo lót,noun,"Vest, undervest",false,0
áo mưa,noun,"Waterproof, raincoat, mackintosh",false,0
áo ngủ,noun,night-dress,false,0
áo quan,noun,Coffin,false,0
áo sơ mi,noun,shirt,false,0
áo tế,noun,Ritual robe,false,0
áo thụng,noun,Large-sleeved ceremonial robe,false,0
áo tơi,noun,Palm-leaf raincoat; leaf-dress,false,0
áo trấn thủ,noun,Padded cotton waistcoat,false,0
áo vệ sinh,noun,Cotton sweater,false,0
áp,verb,"To press against, to stand against; To affix; To be next to, to be close to",false,0
áp bức,noun,To oppress; oppression,false,0
áp chảo,adj,"Half-fried, saute",false,0
áp chế,verb,"To tyrannize, to persecute",false,0
áp dụng,verb,"To apply, to put into practice, to put into application",false,0
áp đảo,verb,"To overwhelm, to overpower",false,0
áp đặt,verb,"To impose, to force on",false,0
áp giải,verb,"To escort, to conduct under escort",false,0
áp lực,noun,Pressure,false,0
áp suất,noun,Pressure,false,0
áp tải,verb,To convoy,false,0
áp tới,verb,to dash forward,false,0
át,verb,To drown,false,0
au,adj,Bright and cheerful,false,0
áy,adj,Withered (nói về cỏ),false,0
áy náy,verb & adj,(To feel) uneasy,false,0
ắc qui,noun,battery,false,0
ăm ắp,adj,Overbrimmed,false,0
ẵm,verb,To carry in one's arms,false,0
ăn,verb,"To eat, to feed, to take, to have",true,0
ăn bám,verb,"To sponge on, to live on",false,0
ăn bận,verb,To dress,false,0
ăn bốc,verb,to eat with the fingers,false,0
ăn bớt,verb,"To take stealthy rake off, to get pickings, to appropriate part of profits",false,0
- ăn cánh,verb,"To be in collusion with, to be in confederacy with, to be in cahoots with, to be hand in glove with",false,0
ăn cá,verb,to win a bet,false,0
ăn cánh,verb,to take sides with someone; to be in collusion,false,0
ăn cắp,verb,"To steal, to filch, to pilfer",false,0
ăn chay,verb,To keep a vegetarian diet,false,0
ăn chắc,verb,to be on sure,false,0
ăn chặn,verb,To appropriate part of,false,0
ăn chẹt,verb,To take unfair advantage of,false,0
ăn chơi,verb,"To indulge in dissipation, to sink in depravity, to live a debauched life, to lead a life of debauchery",false,0
ăn cỗ,verb,to feast; to attend a banquet,false,0
ăn cơm,verb,to have a meal; to take a meal,false,0
ăn cơm tháng,verb,to board,false,0
ăn cưới,verb,to participate in a wedding banquet;to attend a wedding,false,0
ăn cướp,verb,To rob,false,0
ăn da,adj,Caustic,false,0
ăn diện,verb,"To be stylish, to dress smartly",false,0
ăn đứt,verb,"To prevail over, to get the better of",false,0
ăn giá,verb,"To strike a bargain, to come to terms",false,0
ăn giải,verb,to win a prize,false,0
ăn gian,verb,To cheat,false,0
ăn giỗ,verb,to celebrate the anniversary of someone's death,false,0
ăn hại,verb,"To eat one's head off, to live as a parasite",false,0
ăn hiếp,verb,"To bully, to tyrannize",false,0
ăn hoa hồng,verb,to receive a commission,false,0
ăn học,verb,To study,false,0
ăn hỏi,verb,To propose ritually (with an offering to the girl's parents),false,0
ăn hối lộ,verb,to take a bribe,false,0
ăn không,verb,"To live in idleness; To appropriate, to trick out of",false,0
ăn khớp,verb,"To fit; To tally, to fit in with",false,0
ăn kiêng,verb,to be on a diet,false,0
ăn lãi,verb,to make profits,false,0
ăn làm,verb,To work for one's living,false,0
ăn lan,verb,to enlarge; to spread,false,0
ăn lời,verb,"To obey, to take advice of; To go back upon one's word",false,0
ăn lương,verb,to receive one's salary,false,0
ăn mảnh,verb,To work stealthily for one's own profits,false,0
ăn mày,noun,"To beg (for a living, for aid..); Beggar",false,0
ăn mặc,verb,To dress,false,0
ăn mặn,verb,To eat meat,false,0
ăn mòn,verb,"To eat away, to corrode, to erode",false,0
ăn mừng,verb,To celebrate (with feasts and rejoicings),false,0
ăn nằm,verb,"To be lodged, to be accommodated; To live as man and wife, to sleep together",false,0
ăn năn,verb,"To repent, to show repentance (remorse, penitence), to eat humble pie",false,0
ăn người,verb,"to gain advantage over others by one's wits, to get the better of others by one's wits",false,0
ăn nói,verb,"to speak, to say, to express oneself",false,0
ăn ở,verb,"to be accommodated, to be housed; to conduct oneself, to behave",false,0
ăn quịt,verb,to eat without paying; to evade paying,false,0
ăn rỗi,verb,to devour voraciously,false,0
ăn sống,verb,to eat uncooked food,false,0
ăn sương,verb,"To be a night-bird, to walk the streets",false,0
ăn tạp,verb,to gobble,false,0
ăn tết,verb,to celebrate the New Year,false,0
ăn tham,adjective,greedy ; gluttonous,false,0
ăn thề,verb,"To take oath, to swear brotherhood (loyaltỵ..)",false,0
ăn thử,verb,"to sample food, to taste",false,0
ăn thừa,verb,to eat remains,false,0
ăn tiệc,verb,to attend a banquet; to feast,false,0
ăn tiền,verb,To take bribes; To bring good results,false,0
ăn tiêu,verb,To spend money,false,0
ăn uống,verb,"To eat and drink; To give feasts, to entertain lavishly",false,0
ăn vạ,verb,To stage a sit-down (until one's debt is paid..),false,0
ăn vụng,verb,to eat stealthily; to eat on the sly,false,0
ăn xén,verb,to graft,false,0
ăn xin,verb,To beg,false,0
ăn xổi,verb,To eat (consume) prematurely; To be impatient for result,false,0
ẳng ẳng,verb,(of a dog) to yap; to yelp,false,0
ắng họng,verb,"To remain silent, to be silenced",false,0
ắp,adj,"Full to the brim, brimful, brimfull",false,0
ắt,adv,"Surely, certainly",false,0
âm,adj,"Yin (opposite to Yang); Sound; Syllable; Negative, lunar, female",false,0
âm ấm,adj,"Tepid, lukewarm, warmish",false,0
âm ba,noun,sound-wave,false,0
âm cung,noun,hell; hades,false,0
âm cực,noun,Cathode,false,0
âm dương,noun,"Ying and Yang, opposites",false,0
âm đạo,noun,Vagina,false,0
âm điệu,noun,"Tune, melody; Strain",false,0
âm giai,noun,(Musical) scale,false,0
âm giải,noun,musical scale,false,0
âm hạch,noun,clitoris,false,0
âm hành,noun,penis; the male organ of copulation,false,0
âm học,noun,Acoustics,false,0
âm hộ,noun,Vulva,false,0
âm hồn,noun,"Soul, wraith, manes",false,0
âm hưởng,noun,"Sonority; Harmony, music",false,0
âm ỉ,adj,"Smouldering, dull and lasting",false,0
âm khí,noun,Miasmatic atmosphere,false,0
âm lịch,noun,"Lunar calendar, moon calendar",false,0
âm luật,noun,Prosody,false,0
âm lượng,noun,volume,false,0
âm mao,noun,pubic hair of man and woman,false,0
âm mưu,danh từ & động từ,"Plot, scheme",false,0
âm nang,noun,scrotum,false,0
âm nhạc,noun,"Music; The Kinh and all ethnic minorities in Vietnam have a time-honoured tradition of music and dance. This is evidenced by the figures seen dancing to music which were engraved on the bronze drums unearthed at Dong Son (Thanh Hoa province) and lithophones discovered in Tay Nguyen Highlands and other relics. Besides royal court music, there was also a rich vein of music which was closely attached to the daily lives of the working masses. Thousands of diverse musical tunes have been collected from this source. From Quan Ho folk songs in the North to Hue songs (songs from the Perfume River), ""guessing game"" songs, satirical songs, joking songs and numerous songs in southern provinces, all are characterised by a profound sensibility and poetic, lyrical sense. After 1945, royal court music was underdeveloped. But folk music flourished more than ever before along with the increasingly popular modern music",false,0
âm phủ,noun,"Hell, Hades",false,0
âm sắc,noun,timbre; tone-colour,false,0
âm thanh,noun,Sound,false,0
âm thầm,adj,Silent,false,0
âm thần,noun,godness; labia,false,0
âm thoa,noun,(âm nhạc) diapason; pitchl,false,0
âm tiết,noun,Syllable,false,0
âm tín,noun,News,false,0
âm u,adj,"Gloomy, dreary, sombre",false,0
âm vận,noun,rhyme,false,0
âm vật,noun,woman's gernital organ,false,0
âm vị,noun,Phoneme,false,0
âm vị học,noun,"Phonology, phonemics",false,0
ầm ĩ,adj,"Noisy, boisterous, strident, uproarious",false,0
ầm ừ,verb,"To hum and haw, to hum and ha, to hem and haw",false,0
ẩm,adj,"Damp, humid",false,0
ẩm thấp,adj,"Humid, damp, dank",false,0
ẩm thực,verb,to eat and drink,false,0
ấm,adj,pot; kettle; warm; tepid,false,0
ấm ách,adj,"Puffed up, windy, flatulent",false,0
ấm áp,adj,"cosy, warm",false,0
ấm chén,noun,tea-set; tea-sevice,false,0
ấm cúng,adj,"snug, cosy; harmonious, united",false,0
ấm no,adj,Well off; comfortable,false,0
ấm ớ,adj,"half-baked; perfunctory, haphazard",false,0
ấm tích,noun,China teapot,false,0
ấm ứ,verb,to hum and haw,false,0
ấm ức,adj,"Full of pent-up anger, full of pent-up resentment",false,0
ậm ạch,adj,"Labouring, ploughing, plodding",false,0
ân,noun,favour; grace,false,0
ân cần,adj,"Solicitous, thoughtful",false,0
ân giảm,verb,To mitigate the punishment of,false,0
ân hận,verb,"To feel regret, to feel regretful, to repent",false,0
ân huệ,noun,Favour,false,0
ân nghĩa,noun,Feeling of gratitude (for favour received..),false,0
ân nhân,noun,"Benefactor, benefactress",false,0
ân oán,noun,gratitude and resentment,false,0
ân tình,adj,"Deep feeling of gratitude; Full of gratitude, full of deep affection",false,0
ân xá,verb,"To amnesty, to grant amnesty",false,0
ẩn,adj,To thrust; To hide; To seclude oneself from the world; Latent,false,0
ẩn cư,verb,To seclude oneself from the world,false,0
ẩn dật,verb,To seclude oneself and lead a leisurely life,false,0
ẩn dụ,noun,Metaphor,false,0
ẩn hiện,verb,"Now appear, now disappear; to loom",false,0
ẩn náu,verb,To lurk,false,0
ẩn nấp,verb,To take cover,false,0
ẩn sỉ,noun,retired scholar,false,0
ẩn sĩ,noun,"Recluse, hermit, anchorite",false,0
ẩn số,noun,Unknown (quantity),false,0
ẩn ý,noun,"Implication, hint",false,0
ấn,verb,"Seal; To press; To jam, to cram",false,0
ấn chỉ,noun,printed matters ; printed paper,false,0
ấn định,verb,"To define, to lay down",false,0
ấn kiếm,noun,Seal and sword,false,0
ấn loát,verb,To print,false,0
ấn loát phẩm,noun,Printed matter,false,0
ấn quán,noun,printing-house; printing-office,false,0
ấn tín,noun,Official seal,false,0
ấn tượng,noun,Impression,false,0
ấp,verb,"land holding (of vassal or nobleman); small settlement at newly-reclaimed site hamlet; to hatch, to brood, to sit, to incubate; to embrace, to hug",false,0
ấp ủ,verb,"to nurse, to nurture, to harbour, to cherish, to entertain",false,0
ấp úng,verb,"to hum and haw, to stammer",false,0
ập,adv,"to rush in; to rush down; with a bang, with a crash, tumultuously",false,0
ất,noun,the second Heaven's Stem,false,0
âu,adv,"Small crock; Dockyard; shipyard; Perhaps, just",false,0
âu châu,noun,Europe,false,0
âu hoá,verb,To europeanize,false,0
âu phục,noun,"European clothes, European suit",false,0
âu sầu,adj,"Sad, melancholy",false,0
âu yếm,verb,"To caress, to fondle",false,0
ẩu,adj,"Careless, remiss, lax",false,0
ẩu đả,verb,"To have a row, to have a dogfight",false,0
ấu trĩ,adj,"Infantile, childish",false,0
ấu trùng,noun,Larva,false,0
ẩy,verb,To thrust,false,0
ấy,từ đệm,"That; Like; Papa, daddy; Three; third; Several, a few, a handful of, a number of",false,0
ba ba,noun,Trionychid turtle,false,0
ba bị,adj,"Bogey, bogy, bugbear, bugaboo; seedy, shabby, battered; unprincipled, knavish, good for nothing",false,0
ba chỉ,noun,side,false,0
ba đào,noun,"Big wave, ups and downs",false,0
ba đờ xuy,noun,overcoat,false,0
ba gác,noun,"tricycle, trike",false,0
ba gai,adj,"rowdy, unruly",false,0
ba hoa,verb,"to brag, to boast, to prate, to blabber",false,0
ba láp,adj,"nonsensical, senseless",false,0
ba lăng nhăng,adj,"Idle, worthless, meaningless, trashy",false,0
ba lê,noun,Paris; Ballet,false,0
ba lô,noun,knapsack; kit-bag,false,0
ba mươi,noun,the thirtieth day of the lunar month,false,0
ba phải,verb,"Agreeing with everyone, without any opinion of one's own",false,0
ba quân,noun,The whole of an army (placed under a general's command),false,0
ba que,adj,"Deceitful, cheating, dishonest, tricky",false,0
ba rọi,adj,"Side; Half-serious half-facetious, serio-comic",false,0
ba sinh,noun,"The three existences, eternal love",false,0
ba tiêu,noun,Banana-tree,false,0
ba trợn,adj,Unruly,false,0
ba tư,noun,(điạ lý) Pesia,false,0
ba vạ,adj,"run-down, uncared-for",false,0
bà,noun,"Grandmother; Madam, lady",false,0
bà ba,noun,South Vietnamese pajamas,false,0
bà chằng,noun,Ogress,false,0
bà chủ,noun,Mistress,false,0
bà con,noun,"Relative, relation; Neighbour, fellow..",false,0
bà cô,noun,"Spinster; Dead nubile girl; Termagant, scold",false,0
bà cụ,noun,Old lady; old woman,false,0
bà đỡ,noun,Midwife,false,0
bà gia,noun,Mother-in-law,false,0
bà lớn,noun,Madam,false,0
bà mụ,noun,Village midwife; Goddess believed to give shape to and protect babies,false,0
bà nhạc,noun,Mother-in-law,false,0
bà phước,noun,"Sister, sister of charity, catholic nun",false,0
bà trẻ,noun,Grandfather's concubine; Grandaunt,false,0
bà vãi,noun,Buddhist nun,false,0
bả,noun,"poisoned food; Bait, lure",false,0
bả lả,adj,"Too familiar, offensively familiar, improper",false,0
bả vai,noun,Flat of the shoulder,false,0
bã,adj,"Waste, residue, refuse; Tasteless and loose (as deprived of nutrient substance); Exhausted, dead tired, dogtired",false,0
bá,verb,"Earldom; Chief vassal; Aunt; To embrace, to hug, to fold in one's arns",false,0
bá âm,verb,to broadcast,false,0
bá cáo,verb,"To broadcast, to disseminate widely",false,0
bá chủ,noun,"Suzerain, dominator",false,0
bá hộ,noun,Feudal honorary rank conferred on a village's notable or rich man; Village rich man,false,0
bá láp,adjective,disorderly,false,0
bá quan,noun,all officials in the court,false,0
bá quyền,noun,Hegemony,false,0
bá tánh,noun,"The people, the population",false,0
bá tước,noun,"earl, count",false,0
bá vương,noun,"Suzerain, overlord",false,0
bạ,verb,"Any (trong anyone, anything, anywherẹ.); To strengthen",false,0
bác,verb,"Uncle, one's father's sister-in-law; Uncle, aunt; You old boy; to scramble; to refute, to reject, to turn down, to dismiss",false,0
bác ái,adj,Humane,false,0
bác bẻ,verb,to criticize,false,0
bác cổ,adj,Archaeologic,false,0
bác học,adj,"Scholarly, learned; A scholarly, a learned man, a savant",false,0
bác sĩ,noun,"Doctor, physician",false,0
bác vật,noun,Engineer; erudition,false,0
bạc,noun,Silver; Piastre; Money gamble,false,0
bạc ác,adj,"Ruthless, uncompassionate",false,0
bạc bẽo,adj,"Ungrateful, thankless, unrewarding",false,0
bạc đãi,verb,"To slight, to ill-treat",false,0
bạc hà,noun,"Mint, peppermint",false,0
bạc hạnh,adjective,bad luck; misfortune,false,0
bạc màu,adj,"Impoverished, exhausted, overcropped",false,0
bạc nghĩa,adjective,ungrateful; thankless,false,0
bạc nhạc,noun,Stringy meat,false,0
bạc nhược,adj,Feeble,false,0
bạc phận,adjective,Unhappy fate; misfortune,false,0
bách,number,cypress; cypress-tree; Wooden skiff; Hundred; a hundred and one,false,0
bách bộ,verb,"to go for a stroll, to go for a constitutional, to go for a walk",false,0
bách chiến,adj,"Battle-tested, battle-seasoned",false,0
bách hoá,noun,All kinds of goods,false,0
bách hợp,noun,Lily,false,0
bách khoa,adj,Encyclopaedic; polytechnic,false,0
bách nghệ,noun,Arts and crafts,false,0
bách phân,adj,"Centesimal, centigrade",false,0
bách thanh,noun,Shrike (chim),false,0
bách tính,noun,"The common people, the masses",false,0
bạch cầu,noun,Leucocyte,false,0
bạch cúc,noun,Common daisy,false,0
bạch cung,noun,The white House,false,0
bạch dương,noun,"Birch, birch-tree",false,0
bạch đái,noun,"Leucorrhoea, the whites",false,0
bạch đàn,noun,Eucalyptus,false,0
bạch đầu quân,noun,Old men's militia,false,0
bạch đậu khấu,noun,Cardamom,false,0
bạch đinh,noun,Village nobody,false,0
bạch hầu,noun,"Diphtheria, diphtheritis",false,0
bạch huyết,noun,Lymph,false,0
bạch huyết cầu,noun,Leucocyte,false,0
bạch kim,noun,Platinum,false,0
bạch lạp,noun,Tallow,false,0
bạch ngọc,noun,Diamond; spar,false,0
bạch nhật,noun,Broad daylight,false,0
bạch tạng,noun,Albinism,false,0
bạch tuộc,noun,"Poulp, poulpe",false,0
bạch tuyết,noun,White snow,false,0
bạch yến,noun,"Serin, canary bird",false,0
bai,verb,"Trowel; Spade; To loose, to stretch",false,0
bài,noun,"Tag, tablet; Card, card-game; Resort, course of action; Lesson",false,0
bài bác,verb,"To disparage, to run down",false,0
bài báo,noun,Article,false,0
bài bây,khẩu ngữ,Brazen,false,0
bài binh bố trận,verb,"To array troops, to dispose troops in battle formation",false,0
bài bình luận,noun,Commentary,false,0
bài ca,noun,"Song, hymn",false,0
bài diễn văn,noun,speech; address,false,0
bài hát,noun,Song,false,0
bài học,noun,lesson,false,0
bài khoá,noun,Text,false,0
bài làm,noun,"task, exercise, theme",false,0
bài luận,noun,Essay; composition,false,0
bài mục,noun,Section (in a syllabus),false,0
bài ngà,noun,"Ivory badge (worn by mandarins, indicating their grades)",false,0
bài ngoại,adj,Xenophobic,false,0
bài tập,noun,Exercise,false,0
bài thơ,noun,Poem,false,0
bài thuốc,noun,Remedy,false,0
bài tiết,verb,To excrete,false,0
bài toán,noun,(mathematical) problem,false,0
bài trí,verb,"To dispose, to arrange, to decorate",false,0
bài trừ,verb,"To abolish, to eradicate",false,0
bài vị,noun,Ancestral tablet,false,0
bài vở,noun,"Class materials, task; Newspaper matter, copy",false,0
bài xích,verb,"To boycott, to ostracise",false,0
bài xuất,verb,"To excrete, to eliminate",false,0
bải hoải,adj,"Limp with weariness, drooping from exhaustion",false,0
bãi,noun,"Bank; Expanse, ground",false,0
bãi biển,noun,Beach,false,0
bãi bỏ,verb,"To abrogate, to declare null and void",false,0
bãi cá,noun,Fishing ground,false,0
bãi chợ,noun,Hartal,false,0
bãi chức,verb,"To dismiss, to relieve of office",false,0
bãi cỏ,noun,lawn; green; grass-land,false,0
bãi công,noun,Strike,false,0
bãi miễn,verb,To revoke the mandate of,false,0
bãi nại,verb,To desist from; to withdraw,false,0
bãi sa mạc,noun,Desert,false,0
bãi tập,noun,Drilling ground,false,0
bãi tha ma,noun,cematary; churchgard; burial ground,false,0
bái,verb,To kotow; to bow; to salute,false,0
bái biệt,verb,To take leave by kowtowing,false,0
bái đáp,verb,To answer respectfully,false,0
bái lĩnh,verb,To receive with a kowtow,false,0
bái phục,verb,to admire; to bow in admiration,false,0
bái tạ,verb,To thank with a kowtow,false,0
bái tổ,verb,"To make a thanksgiving to ancestors, to kowtow to the memories of ancestors; To give a kowtow, to give a salute",false,0
bái vật giáo,noun,Fetishism,false,0
bái yết,noun,Respect-paying audience,false,0
bại,verb,"Paralysed, crippled; In a state of near exhaustion, almost exhausted; To fail; To be worsted, to be defeated",false,0
bại binh,noun,Routed troops,false,0
bại hoại,adj,"Degenerate, corrupt",false,0
bại liệt,adj,"Paralyzed, crippled",false,0
bại lộ,verb,"To come to light, to be revealed, to be out",false,0
bại quân,noun,"Routed army, routed troops",false,0
bại sản,adjective,Ruined,false,0
bại tẩu,adjective,Inrout; routed,false,0
bại trận,adj,Defeated in war,false,0
bại tướng,noun,Defeated general,false,0
bại vong,adj,Defeated and wiped out,false,0
bám,verb,"To hang on to, to stick fast to; To sponge on",false,0
bám riết,verb,To tread on,false,0
ban,noun,Time; (y học) Rash; Ball; (thực vật) Bauhinia; Shift,false,0
ban bố,verb,To promulgate,false,0
ban công,noun,Balcony,false,0
ban giám khảo,noun,Examining body,false,0
ban hành,verb,"To promulgate, to enforce",false,0
ban khen,verb,"To felicitate, to commend, to congratulate, to praise",false,0
ban long,noun,Jelly (glue) made from antlers,false,0
ban ơn,verb,"To bestow favours, to grant a boon (a favour)",false,0
ban phát,verb,To distribute; to dispense,false,0
ban phước,verb,To bless,false,0
ban tặng,verb,"To award, to grant",false,0
ban thưởng,verb,"To reward, to grant a reward to, to bestow a reward on",false,0
bàn,noun,Table,true,0
bàn bạc,verb,"To discuss, to deliberate, to consult, to exchange views on",false,0
bàn cãi,verb,"To argue, to debate",false,0
bàn chải,noun,Brush,false,0
bàn chân,noun,Foot,false,0
bàn chông,noun,Spike-board,false,0
bàn cờ,noun,Chessboard; Chequered board,false,0
bàn cuốc,adj,Hoeblade-shaped,false,0
bàn đạp,noun,"Stirrup; Pedal, treadle; Springboard, jumping-off place",false,0
bàn đèn,noun,Opium-tray,false,0
bàn định,verb,To decide by discussion,false,0
bàn độc,noun,Reading table; Altar,false,0
bàn ghế,noun,Furniture,false,0
bàn giao,verb,"To transfer, to hand over (officẹ..)",false,0
bàn giấy,noun,"Writing table, desk; Office, secretariat..",false,0
bàn là,noun,Iron,false,0
bàn luận,verb,To discuss,false,0
bàn mảnh,verb,To hold private discussions,false,0
bàn mổ,noun,(y học) Operating table,false,0
bàn phím,noun,Keyboard,false,0
bàn soạn,verb,"To discuss and arrange, to discuss and organize",false,0
